Comment,Rating
恩挺滿意的就是感覺有點貴褲子有點長,bad
什麼沒有贈品呢,bad
最失敗啦穿了一次口袋就開線啦毛領也是假的不過物流忒別快,bad
圖片和實物不一樣奧差別很大還沒有喬丹標誌圖上有,bad
產品不是一般的差服務也差被坑,bad
買個托盤沒用被圖片騙了懶得退貨雙十一提價促銷商家不知道搞什麼還退差價麻煩的很,bad
這個不行性能不是很好有點慢,bad
衣服質量不行而且衣服還有損壞想換個款式商家連理都不理怎麼能有這樣的商家很失敗的一次購物,bad
給我的東西與實物對不上給我的東西根本不是我想買的口味而且快遞也慢的要死是不是沒給快遞費啊,bad
真想退貨沒有開發票並且還有一張最前面的日曆記事本被蹂躪的放在裏面又不能用而且最後一張紙還是爛的真是差評,bad
這次買這個小提琴不滿意一是物流不給力整整用了五天時間才送到是在京東購物最長的一次二是小提琴的質量不如上次購買的仿古手工小提琴特別在製作工藝在音色上比仿古手工小提琴差很多三是贈品也打折扣如微調不是它圖片上的商品而是簡易微調松香也變了型總之很有些失望,bad
買的護目根本沒發差評,bad
東西發黴了孕婦能用嗎京東以後該怎麼相信你們,bad
什麼破玩義太不值了尤其客服太不講理貨剛到手就降了塊錢總之以後決不再買這家東西了態度太惡劣了誰買誰上當都是大騙子,bad
不滿意這個手套都跳線呢,bad
相當讓人失望店家有點無良了產品做工粗糙也就算了還有明顯劃痕杯身拿到的時候也是髒得不行強烈懷疑是退換貨我也懶得退了不過只能給差評,bad
原因是退貨難不是我想要的,bad
鞋開膠不怎麼樣,bad
送個東西送半個月點了取消訂單東西還是送來了問客服客服說點退換貨申請了給我來個審覈未通過原因是貨到付款的東西簽收了不給退尼瑪網銀付的款號吧貨到付款會給你錢,bad
這款杯子不保溫要買保溫杯的親們千萬不要選這款我們還沒用幾天就不保溫了,bad
質量太次了差不多千萬別買啊,bad
還沒有使用用了好的話會來追評的,bad
一句話什麼價格什麼貨,bad
覺得有點坑我買的新書給的書卻是已經拆封的還很舊,bad
很後悔質量太差,bad
味道不好刺鼻,bad
年的存儲貨拿到手有點漏分差評,bad
一點都不好跟我想象的完全不一樣本子太小小到太迷你了差評,bad
送不想送就別寫什麼還要客戶拍什麼照片總共就個東西你們出庫自已沒有稱重啊,bad
不好用根本無法用手拿裝冷飲可以開水燙手本來想退貨覺得麻煩,bad
打開裝好發不又請師傅換了配件才發配配件花了買的後悔,bad
東西太差了買來竟然是破的還不如的地攤貨希望網上買這家貨的不要買了真坑人,bad
用了一天放了一天然後雲臺就不能用了換了一臺雲臺能用了但用小段時間圖像卡的不得了將就用吧,bad
不知道說什麼纔好戴上沒有幾天鏈條都斷了有的地方都繡了,bad
沒有驚喜和網上找到的資料差不多典型的堆砌之作,bad
根本沒用刷子還是壞的,bad
大家千萬別買會使對講機錯亂開不了機導到對講機開不了機賣家說借電器沒事可以退借電器但對講壞了他說不關他的事大家千萬別買電池裏面沒電池只是個電阻大家咖上當了,bad
沒啥效果垃圾玩意,bad
兩個月都沒有就裂開來了後悔,bad
不太好用轉向度後用不上力沒想象的好用,bad
一個星都不想給的穿給男朋友看點都不好看直接拿去扔了,bad
什麼東東不知道怎麼喝氣難聞味道羞澀難喝的恨,bad
我月號購買號到問題是一直不能錄音開箱沒有快速入門手冊我看到京東給別人回覆後才知道有快速入門手冊資料我懷疑是不是把返維修機給的我華碩服務中心北京曾在電話上指導我操作進行重裝結果仍然是不能錄音星期天朋友幫忙把耳機鏈接到他的電腦通過錄音後播放就非常正常說明耳機沒有問題朋友說可能是錄音插入口有問題我的電腦是別人開箱幫安的晚上聊天我自己鏈接耳機時就是不能通話才發現這個問題但是華碩服務中心北京就是不通知本地維修中心來維修讓我抱去找當地華碩服務中心我多了孩子不在身邊我也不敢撤電腦按保修服務卡規定現在應該是上門維修啊因此我不滿意他們的服務京東回覆您好包裝清單主機鍵盤鼠標電源線質量保修卡快速入門手冊感謝您對京東的支持祝您購物愉快,bad
京東自營升賣你這升賣即使滿減也不划算我當時忘記算經濟賬了不知道商家是怎麼想的怨不得沒人買我上鬼子當了,bad
不好,bad
不準方便是方便就是不準測我一直是度有時度奇怪,bad
沒有誠信的店面雙買雙過後將到還不給退差價什麼道理大家繞道吧,bad
外觀小氣裝水還少頂部蓋子設計很不合理總會把未過濾得水漏出來,bad
這是第一次買香姬蓮的衣服也是最後一次質量不好色差太大,bad
差評差評少發了東西留言的服務也沒有做到位然後客服自己打電話過來說給退五十結果一直拖一直拖天天跟客服反映都是敷衍最後五天後說再不給返款了退貨然後才收到退款這樣的破店這樣的服務,bad
啥破衣服比夏天衣服還薄,bad
收到貨用了一下就不亮了啥玩意啊無語,bad
物流太慢量那麼少失望透了還不如去超市買的,bad
不知道是不是正品用了過敏了皮膚起紅疹,bad
皮質一般很硬卡包的扣子一拉就爛不能用了雖然不算貴但也不能用太次的材料有點被坑的感覺,bad
杯子存在明顯遐思客服無回應,bad
質量不行被我一刀就切爛了白白浪費錢,bad
裏邊到底是不是羽絨哦,bad
連電腦升級系統的可是連電腦經常斷機子白蘋果了最後還是問同事借了原裝的想充電的話可以買想連電腦的不推薦,bad
圖片與實物都不一樣而且碼數還大了你們是怎麼拿貨的都沒看嗎明明買的黑色的結果發來的是白色的而且我要的款式和發來的款式根本不一樣要的是碼的結果發來的碼的,bad
不怎麼樣會起毛毛求,bad
一點都不好裏邊有的地方是空的連棉都沒有號還偏小破東西,bad
東西質量可以但無法使用腿上邦不住建議大家買小點的,bad
書的質量還好價值這個價但是這個發貨實在受不了整整一個禮拜纔到啊,bad
這是我有始以來最鬧心的一次購物貨沒收到還能被裏邊的客服騙的東西我扔的起就是別把我當傻行麼,bad
感覺還行但是媽的少一個螺絲墊不想說什麼,bad
選的垃圾快遞東西都不知道扔哪裏去了非常不爽的一次購物,bad
就這種質量的商品還好意思送過來第二張是褲子裏面都破成這樣子了也是醉了想退貨但客服一直聯繫不到發了多少條留言沒有一條回覆的大過年的影響我心情,bad
在也不會買了騙人和一樣大,bad
這速度也沒誰了,bad
產品自身沒問題但包裝中配件缺失要求補下配件多天過去了楞是沒反應一直在確認中售後太差這類產品這類網商是無法做好服務的,bad
未使用暫時沒發現,bad
很垃圾很很垃圾,bad
商品和客服都很好就是快遞太慢居然要一週才收到貨建議店家換快遞合作商,bad
媽的什麼都不能玩太差了,bad
沒用不是新題型,bad
就是送貨太慢物流害人,bad
一星都給多了二手包裝拆得太離譜便宜東西不想給你折騰扔了就是,bad
買了兩對只寄來一對還不給退款,bad
軟梯的質量實在太一般了覺得這麼高的價格不值,bad
和廣告上的差異太多布料也不是牛仔布,bad
比較硬還超級大碼數相當於的碼數,bad
實在太差了不是皮的而且邊緣很硬也就值地攤的價格真不明白前面的買家怎麼評的誤導消費者,bad
京東價是元發票開是元比原來一隻貴了元,bad
京東服務態度不敢恭維,bad
非常不滿意我要的是純棉來的是加絨不是我理想中的,bad
我十一號定的二十四號才收到貨,bad
剛收到感覺挺好的然後穿了一次襪子竟然起球了,bad
這圓通快遞員是神探飛機頭嗎上面寫防潮防壓小心輕放盒子都變這樣了還好是手機殼其他東西早壞了商家做個解釋啊,bad
叉叉叉沒有給我送說好的送一個沒有送,bad
質量不太好有一件兩邊腋下都裂了一個口,bad
難道要我打出來差評,bad
垃圾店買件衣服還送錯了顏色更氣的就是鞋子等了十天才收到衣服質量還不好鞋子退掉下次在也不到這個店買了垃圾,bad
表的快遞速度很好就是表走走停停要嘛就是快有時會快一個多小時,bad
快遞烏龜慢提前天下的單寶寶都出生天還沒到貨無語,bad
真心難喫啊不知道是這個草莓幹壞了還是怎樣反正喫到嘴裏那滋味真是沒法形容本來以是因我自己口味問題但是幾個同事都試喫了一下都覺得超級難喫結果就一人一口全都扔了好浪費,bad
物流慢啊天了號買的號來的耽誤我多少事啊,bad
真心買後悔了沒什麼用,bad
線頭不是一般的多啊,bad
假貨千萬別買長,bad
買回來大半個月了按商家的要求通風依然味道很大根本不敢給寶寶使用完全是擺設,bad
發錯貨洗衣液發成洗手液而且不是套裝發拆分了發本來送人的都沒有辦法了送了,bad
東西可以物流很差送到貨後給家裏打電話我媽放下電話下樓沒看見人給送貨的打電話說是沒看見我媽走了答應待會兒回來可是沒來撒謊了轉天才送過來耽誤了消費者的時間總之送貨的很爛智商是硬傷,bad
歷盡千辛萬苦總算是把我錢給我退回來了,bad
看過的人請好好評價那後面的案例寫了和沒寫一樣本來就是很複雜的軟件而作者針對交通規劃的案例卻寫得不倫不類不值的望大家自己看的,bad
客服一直不給回覆,bad
苦丁衝開後有很多渣子關鍵是喝有股臭不垃圾的味道,bad
從沒有聽過這麼難聽的配樂,bad
拿回家一看非常失望不值,bad
褲型還好物流好,bad
有點假質量不好感覺一般,bad
這麼大個洞店主竟然說不是質量問題,bad
我買過最貴的米線不怎麼樣,bad
太寬了天啊,bad
聽朋友說是水水的不好用,bad
垃圾根本就不適合一點也不對果斷扔掉,bad
垃圾穿一個星期掉線兩個星期脫膠無語不知道評價是託還是我運氣不好,bad
挺好的就是不給京豆,bad
超級差沒效果噴多了霧氣會進入到眼睛會讓眼睛發炎買了後悔啊望採納,bad
買回來剛洗了次然後中間圖案的色就掉完了掉色掉的厲害穿出去跟舊的差不多望想買的人三思而且那麼貴還不如在加點錢到實體店買還有安全保障能夠保證是正品,bad
啥求東西大小不一樣,bad
居然有一個是破了的,bad
不好不是我想要的那種後悔買了哎,bad
東西太一般了和價格不成比例的東西本次購物太傷心了,bad
假貨垃圾懶得跟你退了難聞死了,bad
差評物流差評很是不開心買個東西得半個月,bad
包裝垃圾真妮馬垃圾就沒有包裝,bad
手機太差打電話聽不見聲音,bad
沒有一點效果都是騙人的,bad
不行質量太差還短了機油燈老是亮後來又換了浪費錢不值得購買,bad
一分價錢一分貨能湊活將就吧,bad
買的卡致怎麼變普瑞森了聯繫客服一週沒應答沒下次了,bad
服務太差了發貨慢死,bad
沒有上一次買的好後悔選這家店送的鋼化膜更狗血不想吐槽了,bad
不好左鍵右鍵都有問題卡殼了似的那個開關能在大一點嘛生產的時候就沒有個試用人員嗎,bad
買電源不帶電源線點售後還不管我大水牛以後堅決不會買了爛,bad
質量不好總之很不滿意的一次購物,bad
下單才收到超級慢而且更換了地址後竟然寫錯聯繫方式害的到貨兩天後差點沒收到總之很失望的一次,bad
手感較差無任何標籤三無產品圖片色差故註明酒紅然發貨緋紅現買現賣影響京東信譽,bad
這玩意彈力差的要死商家說是進口膠皮的原因然後又解釋蝴蝶牌子偏軟也實在太軟了進攻毫無力量和速度不曉得什麼原因可能是新拍的原因吧但是給了幾個朋友試用了都說不值這個錢像兩三百元的貨沒法退貨商標撕了自認倒黴請大家網購的時候多留心畢竟接近大洋哥認栽了,bad
不好有幾個按鍵絲印不良難道是我運氣不好嗎,bad
東西不知好壞但快遞真是慢到了極點一星期纔到不好恭維的速度,bad
包裝粗糙電池太不給力了其他還行,bad
這些碟片的音質簡直太差了聽起來比以前的磁帶還差路邊的比這好十倍,bad
什麼都不想說差差差差,bad
穿臃腫款式和實物上有區別,bad
縮水很嚴重買回來洗一次就穿不進去了,bad
實物好小哦顏色也不好不太滿意,bad
產品批號已經年了而且二維碼也掃描不出來該產品看來是假貨無疑了唉京東也不能讓人信任了,bad
看到超市才賣元元買回來虧大了本想退的想想算了幾塊錢的東西懶的折騰,bad
不滿意衣料偏硬穿不舒服顏色和圖片有差異還收了我運費,bad
照片看比較厚質量比較好收到貨後質量差好遠,bad
真心不咋滴價格差距太大,bad
味道很大多處脫膠還要掉色假貨,bad
京東最差的一次體驗,bad
鞋尖爛了一處申請換貨不給換,bad
客服服務差態度不好退貨不退款早就收到退的貨了不返款半個月了買家們醒醒吧買對了不知道咋樣反正買錯了說好的退貨退款不退超噁心人最後電話還打不通了,bad
材質是塑料感覺上當了,bad
非常不好千萬別要,bad
不好幾乎沒穿過,bad
不好用根本縫不上,bad
放到彩色激光打印機中效果比較差無法使用打印了張張有問題第張還直接將打印機給卡死了還不如普通紙張,bad
這賣家態度真是太差了跟正常人不一樣沒法溝通不特麼走京東也不說耽誤我天時間還給我拉黑了東西不行態度不好誰還來啊祝你早日關門大吉,bad
不好買回家還沒穿都降價了,bad
有被欺騙的感覺,bad
收貨需謹慎快遞過來包裝簡陋一層塑膠紙一個紙盒壞心情,bad
什麼狗屁啊那個筆根本畫不出來感覺都是乾的完全不能用浪費錢一點都不好用,bad
發過來的衣服和圖片上的不一致,bad
垃圾前置攝像頭都蓋住了懶得換了,bad
始終就沒給發過來商家讓人噁心,bad
太貴了拿到手試了一下居然起靜電很厲害的靜電絲絲拉拉的響不值這個價錢,bad
買回去飛不起來只能原地轉左右轉退換不也給,bad
已用一天堅持用一個月再評價,bad
用起來沒有泡沫跟乳霜一樣真心不喜歡,bad
瓶子上二維碼掃出來了的自己看吧買貴了要不是用過了不然肯定退貨,bad
假的拿來跟圖片完全不一樣穿上還有味道,bad
散熱不好噪音大,bad
快遞公司極差東西放收費存放櫃裏還不通知你去取投訴京東售後也還要拖了幾天才處理害我白出了存儲費還無處申訴,bad
剛開始覺得還蠻好的才用了兩天就不上熱了太差了,bad
打兩下就斷了太不耐打了真心不值這個價,bad
質量一般物流差的不能再差了,bad
盒子好小只夠裝鹽等佐料就一個大一點點異味倒沒有後評待進一步使用,bad
穿不上去不知道別人怎麼穿的這麼小,bad
無聊差差差,bad
客服實在太差貨一個月纔到每次和客服說話都不帶理人的,bad
衣服穿在身上掉毛而且京東賣太貴了昨天逛街實體店看到了一模一樣的但是價錢卻比京東的便宜一大半,bad
品質有點差白光不夠白有點黃,bad
換貨量不足外觀其他人看看吧都能知道怎麼回事,bad
衣服質量不好物流慢讓人心煩,bad
物流太慢客服態度太不好物流太慢太慢韻達快遞太慢太慢太慢,bad
我沒有收到貨啊這是什麼情況,bad
哪裏有什麼清潔布啊根本沒有,bad
買完後有點小問題釦眼和釦子對不齊是歪的但是克服愛答不理的果斷差評,bad
沒有用扔了,bad
質量相當不行穿了天鞋底就爛了,bad
京東隨便取消客戶訂單沒誠信,bad
由於急用就買了結果果然像很多買家反應的那樣用了沒幾天上面的鉚釘就掉了,bad
太差勁了客服說的一週左右到貨等了二十多天都沒到不說貨都沒收到居然自動接收了哈哈雖然只是還是建議大家不要上當了,bad
太不滿意左喇叭有毛病贈品光碟沒有我強烈要求商家換貨,bad
垃圾產品根本就戴不成而且商家給我發的比我要的大的多超過我自己量的尺寸了什麼產品呀就是的地攤貨而且贈品也很差勁上當了,bad
做工粗糙線頭多與其他同類產品比價格偏高商家對消費者的責任心不夠,bad
買了易燃火山的好幾個戒指了這是頭一回遇上這類事雖然價錢不貴但標的是號戒指戴到了手上卻取不下來很緊買的其他易燃火山的戒指沒遇這種問題都是號的別的就都是很合適獨獨這款都勒到肉裏去了我提出要一個大號的說這玩意兒特殊商品不是質量問題不給換難道戒指比標準的圈號小了一圈就不是質量問題了,bad
沒睡多久就踏了估計也不是什麼正品反正買了三樣被子確定是假話枕頭睡踏了被單看薄還沒拆過建議大家要不上實體店要,bad
很垃圾根本不值這個價京東也作假太失望了,bad
味道一樣真假難辨希望是真的把,bad
用了一個多月纔來評論真心感覺被坑了時間基本上天天都要調無語了,bad
開學用到現在就破了垃圾中的戰鬥機,bad
京東賴皮我好歹是個鑽石用戶不能簽到領京豆不能領券不是一天半天領不了幾個月以來一直無法領取京券一句話有機會獲得就把我打發了難道我的機會等於零也是正常的嗎難道退貨也不行退貨就該進黑名單評價與商品無關,bad
商品詳情寫明是加厚到手之後嚇一跳薄的要死不值這個價,bad
固定風扇本體的螺絲沒配到好辦但是固定調速器到烏鴉上的螺絲都不給而那螺絲的規格又不是那麼的常見至於省這毛錢嗎我手上好幾個銀欣的產品沒一個用的順心的粉轉路路轉一生黑,bad
買的泡了沒反應根本就不能玩呵呵,bad
我不想說了太傷心,bad
色差太大我還以發錯了退貨麻煩就不退了絕對差評,bad
褲子有問題孩子穿上很不舒服導致皮膚磨破,bad
不給發票騙人,bad
不好包包太硬了包包的帶子超短斜跨包包在肚子的位置與圖片不符失望至極退回去不值當只好扔一邊,bad
我懷疑東西之前被用過,bad
品質很一般不值這個價錢,bad
聽家人說京東的質量不錯就沒看評論直接買了第一次在京東買東西真的挺失望味道很大很差的皮製品聞了有想吐的感覺整個包軟塌塌的一背就變形送別人也拿不出手估計自己也不會背了,bad
包包不像正品用了一星期包帶處已經掉皮了再也不會相信網上的東西了一次失敗的購物經歷,bad
我開始必須用無德商家這四個字來形容賣家月號下的訂單月號收到的商品賣家選擇了一個超垃圾的快遞我也就不評價了因是免費的商品到了後一看就是倉庫的庫存面料摺疊處全是髒的外包裝也很破問題就接來了發現沒有繡針尺寸和下訂單時的尺寸小了很多賣家給我的解釋是一個是繡布的尺寸一個是畫面的尺寸那麼請問什麼不在選擇尺寸上寫清楚這些我就不計較了更可恨的是開始和賣家協商補發針的問題賣家答應會馬上給我補發第一天無果第二天繼續追問補發的快遞單號賣家給我的答覆是颱風沒有取貨的快遞公司好吧天災人禍我認了第二天也無果事後投訴給京東京東也沒解決問題給我的答覆是聯繫不到賣家我就開始無止境的等待第三天又聯繫賣家髮針的事任然沒有答覆不是我沒錢買不起個針我就要在這裏告訴所有即將受騙的人垃圾的賣家京東是怎麼讓它上櫃來坑騙老百姓的請所有想選擇這家商品的人們擦亮眼睛別跟我似的上當受騙以下是我的曬單布上只有針眼,bad
貴了比超市也沒便宜啊,bad
沒有圖片上那麼好質量不行脫線,bad
居然是裸裝來的時候外殼被壓壞了好在瓶身沒問題沒法說真假感覺是庫存很久的貨我都要懷疑自己灌裝了不是很油味道清淡一般,bad
看圖片一個樣買回來有一個樣太坑人了而且好有點貴,bad
睡了奶茶只能給差評,bad
整個都播不起來看便宜就不想退貨,bad
有些大太大了款式一般,bad
快遞太慢了衣服也不好看,bad
帶上眼睛特不舒服好像有度數看圖片上沒有顏色但實際有顏色,bad
衣服還行褲子不是很滿意,bad
一瓶通用爆液送到家打開盒子已經漏了三分之一滿屋子味真大不太好聞知道找客服也沒用認掏黴吧在你們家買東西已經第二次失望了,bad
我號下的訂單號到的也就算什麼明明發的申通快遞跟蹤的顯示的是國通呢其他的不說了就這快遞一事就挺不滿意的,bad
沒有最難聞只有更難聞果茶的味道燻死人了,bad
沒有包裝沒有商標沒有任何標誌可以證明它的品牌我拿什麼相信你呢三無產品,bad
希望質量好一點說明書詳細一點,bad
這膜是軟的老是拱起一塌糊塗,bad
非常不滿意昨天收到的貨不是小卡詢問客服到今天都沒有回覆,bad
全都一用就破了,bad
質量很次開口也小剛用了一次就壞了垃圾,bad
不能充電又不是太陽能的沒在家實體店的買的好,bad
枕芯有點單薄填充慢一點靠才舒服還一個有點貴然後那個靠枕外套尺寸說是其實很多是什麼的枕芯一放進去有時鬆垮垮的簡直就是敗筆,bad
快遞不是一般的慢,bad
還是喫了沒知識的虧咱不懂他說什麼是什麼把玩有風險購買需謹慎兩個朋友說是血檀什麼價錢什麼貨但有種被玩的感覺,bad
我打不開現在也沒看到視頻一節也沒學自動播放也不行好鬱悶,bad
快遞了二十天沒見到貨和客服說好拒籤就行拒籤後客服就不搭理了月號的單月號才退款中間經歷多少辛酸不說了看到還有好多人買了快過期的客服好差看你生氣了才理你總之都是差一顆星不給發不了評論只能給一顆,bad
不能用坑了退了,bad
物流太慢快十天了,bad
店家打錯顏色換個貨不讓我發結果自己給我發七天了連個貨到哪都查不到無語了,bad
沒收到不知道送哪去了,bad
鞋子外面的橙色發黑沒鞋子裏面的橙色漂亮線頭外露舒適性一般,bad
味道真心的難聞,bad
除了便宜和京東配送真的沒什麼好沒有五種出水方式水也沒有加壓只是從洞裏流出來失望便宜沒好貨,bad
喜歡天然質感的就不要拍了,bad
賣家服務太差勁了想退貨都沒人說句話打電話也不接你們商家太黑了朋友們去選別人家吧,bad
耳套沒有副耳機也沒有聲音特別小還不如耳機呢什麼貨啊一星都不想給,bad
反應超級慢不值得購買,bad
不是純銀的帶了耳朵過敏,bad
一個字爛打開一看還不錯仔細一看居然是斷開的很長一條缺口閒退貨過麻煩就扔了賣家發貨前不檢查貨物的嗎無語,bad
垃圾裏面的東西都爛啦還有幾把買,bad
口子太小了光撒奶粉,bad
東西太好了洗了一次破這樣大家多多購買啊,bad
下單一個星期纔到錯過了女孩子生日送貨真他嘛的慢,bad
氣門嘴沒送給我垃圾買家,bad
不想多說,bad
以前質量很好現在怎麼那麼差穿一下就開膠,bad
賣家發貨慢快遞派送慢東西散來的沒喝呢,bad
我把衣服返給商家竟然沒退我錢公司電話打不進去太不像話了,bad
鞋子有氣味質量很一般感覺不值這個價,bad
樣子還行穿好看就是穿腳不透氣愛出汗的腳不建議買號碼還很大容易崴腳很滑,bad
騙子貨還沒有收到顯示簽收讓我按簽收貨沒有到手已經讓我簽收了我我白白花了錢貨又沒有看到,bad
我沒有收到貨賣家是個騙子,bad
質量太單簿價格太貴不值,bad
不是說免運費嘛怎麼還收費希望大家以後小心點,bad
太垃圾了一拉就斷了實在不行啊,bad
打開看到包裝都壞了,bad
爛爛爛爛爛爛爛爛爛爛爛爛爛爛爛爛爛爛爛爛爛,bad
鞋子不知道真假味道很重追重要的不給發票這很失望,bad
書的內容實在不咋地就是寫了幾個簡易菜譜失望,bad
質量不好蓋子根本裝不上誰能給解釋下,bad
垃圾東西太強大眼霜在鼻翼兩側的四白穴按了幾下第二天那塊就腫了洗完臉發現那個部位的皮被燒壞皴了面膜也是垃圾拿出就就滴油用在臉上燒得慌,bad
沒法說不在網上買了,bad
好難喝味道真心不怎麼樣唉,bad
太假了充一次電就玩完了,bad
剛買還行可是洗了幾次後就開始變形拉長掉色質量不是怎麼的好,bad
本來想給差評的可最少得是一顆星鞋子腳後跟好多摺痕明顯是別人穿過的嫌麻煩又懶得退客服態度差評一副很屌的樣子跟她說已經下單三天了還沒發貨她就跟我來了一句你要是等不及你就去實體店買啊這什麼態度啊果斷差評這個客服我說了我會投訴你的,bad
穿了一次按扣就掉了不值襯衫還可以,bad
板太硬非常不方便拆下來質量感覺也一般,bad
物流很快就是塑料盒很髒一層的灰抹布一擦倒是乾淨了送之前或者包裝前就不能擦一下讓人感覺買來的奶粉質量都沒有保障髒兮兮的給差評,bad
鞋子質量很差味道很大就是個垃圾鞋子鞋子號小了商家要我郵回去郵費你們都不管還要我在郵包了放元錢我去你妹啊不推薦大家購買,bad
沒有打磨好手鐲感覺太小有鋒利的地方而且沒有證書,bad
啥垃圾東西做工粗糙跟圖一點也不像,bad
注意了這個是版的的根本不能用,bad
滑輪鍵真心不怎麼樣特別麻煩無意中碰了一下就會後退什麼腦殘設計,bad
懷疑假的蓋子一股刺鼻的味,bad
三亞地圖好小整張地圖的面積海口雖然是省會但又不是重點旅遊地點佔的篇幅好大總之想去三亞玩的別買這圖了,bad
不滿意質量那麼差根本衣服對不上版的還說加厚的根本就是騙人的那麼簿大家不要買別被騙了像這種衣服送給我都不要,bad
不知道啥不合適裝不上,bad
質量一般而且做工粗糙,bad
